ID ,Traffic Volume Count Location  Address,Street,Date of Count,Total Passing Vehicle Volume,Vehicle Volume By Each Direction of Traffic
691,6067 North,Kimball Ave,8/15/2006,15600,North Bound: 7500 / South Bound: 8100
960,5116 North,Ashland Ave,8/22/2006,26700,North Bound: 13100 / South Bound: 13600
85,6416 South,State St,5/2/2006,19300,North Bound: 8800 / South Bound: 10500
1116,435 North,La Salle St,9/21/2006,32300,North Bound: 17700 / South Bound: 14600
871,6891 West,Diversey Ave,8/16/2006,16600,East Bound: 8600 / West Bound: 8000
674,4034 North,Ashland Ave,8/29/2006,33400,North Bound: 15700 / South Bound: 17700
1104,626 North,Homan Ave,9/27/2006,10700,North Bound: 5300 / South Bound: 5400
397,6559 South,Damen Ave,10/11/2006,21500,North Bound: 11600 / South Bound: 9900
160,9150 South,Harbor Ave,5/4/2006,2500,North Bound: 1100 / South Bound: 1400
1286,10621 South,Halsted St,8/31/2006,31800,North Bound: 17400 / South Bound: 14400
1260,5834 South,Cottage Grove Ave,10/11/2006,25000,North Bound: 14200 / South Bound: 10800
819,2641 West,Pershing Rd,9/26/2006,11000,East Bound: 5800 / West Bound: 5200
119,6722 South,Halsted St,3/21/2006,13500,North Bound: 7600 / South Bound: 5900
518,161 East,Chicago Ave,10/3/2006,18100,East Bound: 9700 / West Bound: 8400
1194,3249 West,71st St,11/14/2006,15600,East Bound: 7900 / West Bound: 7700
379,4624 South,Woodlawn Ave,5/2/2006,3000,North Bound: 1500 / South Bound: 1500
728,7168 West,North Ave,12/20/2006,36000,East Bound: 17100 / West Bound: 18900
1337,389 West,Washington St,9/26/2006,17000,East Bound: 17000 / / Oneway East Bound 
914,4550 West,Addison Ave,8/14/2006,23600,East Bound: 11800 / West Bound: 11800
979,2034 North,Halsted St,10/16/2006,18700,North Bound: 10200 / South Bound: 8500
376,742 West,Root St,5/9/2006,3200,East Bound: 1400 / West Bound: 1800
1279,121 West,107th St,8/29/2006,9100,East Bound: 4600 / West Bound: 4500
630,2393 North,Harlem Ave,11/13/2006,22300,North Bound: 12400 / South Bound: 9900
365,7020 South,St Lawrence Ave,5/4/2006,5000,North Bound: 3400 / South Bound: 1600
673,4453 North,Damen Ave,8/16/2006,13000,North Bound: 6700 / South Bound: 6300
1111,223 West,Jackson Blvd,9/28/2006,11300,East Bound: 11300 / / Oneway East Bound 
277,944 West,55th Street,4/27/2006,33800,East Bound: 16800 / West Bound: 17000
961,1525 West,Belmont Ave,10/16/2006,19200,East Bound: 9800 / West Bound: 9400
557,650 West,Washington St,9/27/2006,19000,East Bound: 19000 / / Oneway East Bound 
1170,2126 South,Central Park Ave,9/14/2006,9100,North Bound: 4400 / South Bound: 4700
1034,511 North,Laramie Ave,10/23/2006,20600,North Bound: 9600 / South Bound: 11000
506,2335 West,Madison St,10/12/2006,13200,East Bound: 5100 / West Bound: 8100
259,1623 West,43rd St,3/29/2006,6100,East Bound: 3200 / West Bound: 2900
1011,855 West,Washington St,9/19/2006,9500,East Bound: 9500 / / Oneway East Bound
2,1708 West,71st Street,3/9/2006,14600,East Bound: 6900 / West Bound: 7700
1275,6240 North,Cicero Ave,8/8/2006,21900,North Bound: 10800 / South Bound: 11100
839,173 West,Ohio St,9/21/2006,37700,East Bound: 37700 / / Oneway East Bound 
598,6214 South,Kedzie Ave,8/10/2006,24200,North Bound: 13100 / South Bound: 11100
715,835 North,Clark St,9/20/2006,16500,South Bound: 16500/ Oneway South Bound 
106,7500 South,Ashland Ave,3/21/2006,26300,North Bound: 12800 / South Bound: 13500
1199,4281 South,Archer Ave,8/10/2006,30600,North Bound: 15800 / South Bound: 14800
520,206 West,Van Buren St,9/20/2006,10500,West Bound: 10500/ Oneway West Bound 
384,10535 South,Wentworth Ave,11/1/2006,8300,North Bound: 3600 / South Bound: 4700
1297,2816 East,95th St,10/18/2006,13700,East Bound: 7100 / West Bound: 6600
442,4856 West,Foster Ave,8/10/2006,27600,East Bound: 12400 / West Bound: 15200
1050,555 West,Adams St,9/20/2006,11700,West Bound: 11700/ Oneway West Bound
193,1165 East,83rd Street,3/28/2006,9000,East Bound: 5300 / West Bound: 3700
1308,2223 West,107th St,9/6/2006,8200,East Bound: 3500 / West Bound: 4700
562,4047 West,Fullerton Ave,8/16/2006,37900,East Bound: 21300 / West Bound: 16600
1250,440 East,31st St,10/12/2006,16600,East Bound: 8200 / West Bound: 8400
625,2032 North,Milwaukee Ave,10/23/2006,14600,North Bound: 7600 / South Bound: 7000
821,4042 West,Cermak Rd,11/14/2006,23200,East Bound: 12800 / West Bound: 10400
1081,300 South,Damen Ave,8/17/2006,21500,North Bound: 10500 / South Bound: 11000
136,7234 South,Western Ave,3/23/2006,40500,North Bound: 20300 / South Bound: 20200
733,645 North,State St,1/9/2007,23100,North Bound: 10500 / South Bound: 12600
787,750 North,Central Park Ave,10/12/2006,10300,North Bound: 5200 / South Bound: 5100
241,7724 South,Racine Ave,3/28/2006,10700,North Bound: 5100 / South Bound: 5600
305,3610 South,Morgan St,3/9/2006,5300,North Bound: 2600 / South Bound: 2700
1153,6023 South,State St,10/11/2006,20400,North Bound: 9300 / South Bound: 11100
1068,406 North,Clark St,9/27/2006,20700,South Bound: 20700/ Oneway South Bound 
337,1519 West,Harrison St,4/26/2006,8800,East Bound: 4400 / West Bound: 4400
799,3110 South,California Ave,8/17/2006,30800,North Bound: 15900 / South Bound: 14900
1160,30 South,Wabash Ave,9/26/2006,9200,South Bound: 9200/ Oneway South Bound 
9,2050 East,71st St,3/9/2006,8600,East Bound: 3600 / West Bound: 5000
941,2231 North,Kimball Ave,10/9/2006,12200,North Bound: 6100 / South Bound: 6100
1302,9352 South,Dr Martin Luther King Jr Dr,8/31/2006,20000,North Bound: 10400 / South Bound: 9600
486,3845 West,Lawrence Ave,8/10/2006,23800,East Bound: 11500 / West Bound: 12300
142,5420 South,Western Blvd,3/23/2006,20100,North Bound: 10300 / South Bound: 9800
273,329 East,51st St,4/27/2006,8800,East Bound: 4000 / West Bound: 4800
1231,4432 South,Ashland Ave,10/11/2006,39400,North Bound: 21100 / South Bound: 18300
411,1055 North,Central Ave,11/13/2006,22700,North Bound: 10700 / South Bound: 12000
1370,7000 South,Jeffery Ave,9/6/2006,24700,North Bound: 11900 / South Bound: 12800
946,3758 West,Montrose Ave,8/23/2006,22000,East Bound: 11600 / West Bound: 10400
477,3535 West,47th St,8/22/2006,23600,East Bound: 12300 / West Bound: 11300
702,243 North,Homan Ave,9/27/2006,12600,North Bound: 6300 / South Bound: 6300
550,2857 West,Pershing Rd,9/26/2006,7800,East Bound: 4300 / West Bound: 3500
659,3242 North,California Ave,10/9/2006,11900,North Bound: 5900 / South Bound: 6000
298,1015 East,Hyde Park Blvd,4/27/2006,9700,East Bound: 5000 / West Bound: 4700
